"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"130"	"ES_Adultos"	"GO:1902969"	"mitotic DNA replication"	"10/1136"	"16/18870"	3.45241479113082e-09	1.42378656502449e-07	1.10939285577096e-07	"4175/4171/604/4172/4173/675/5888/64785/7083/8318"	10
"131"	"ES_Adultos"	"GO:0002703"	"regulation of leukocyte mediated immunity"	"41/1136"	"249/18870"	3.85205972572202e-09	1.57638136468009e-07	1.22829240484966e-07	"149233/6375/7292/725/91543/8809/3329/7855/4292/10039/941/604/7037/7468/3558/59067/3596/3565/84868/4049/7124/6891/80328/80329/196/7186/9188/3902/5027/2242/136/3965/79915/718/3383/9466/684/3594/634/5817/259307"	41
"132"	"ES_Adultos"	"GO:0042509"	"regulation of tyrosine phosphorylation of STAT protein"	"21/1136"	"78/18870"	3.96709980793816e-09	1.61106648688787e-07	1.25531852500285e-07	"8784/149233/83666/54625/3558/59067/3562/1437/3596/3565/7124/857/3717/1270/22876/3458/3479/8651/9021/3976/5008"	21
"133"	"ES_Adultos"	"GO:0002824"	"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	"27/1136"	"124/18870"	4.19905872777114e-09	1.69234791149564e-07	1.3186517759141e-07	"149233/6375/7292/91543/8809/3329/7855/4292/7037/7468/3558/3565/4049/7124/6891/80328/80329/3717/29126/7186/5027/10673/79915/718/9466/3594/5817"	27
"134"	"ES_Adultos"	"GO:0030888"	"regulation of B cell proliferation"	"19/1136"	"65/18870"	4.86336460558613e-09	1.94534584223445e-07	1.51578391901845e-07	"7293/57162/1493/604/7037/952/3558/59067/836/3567/3596/3565/972/1026/27242/196/10673/79915/596"	19
"135"	"ES_Adultos"	"GO:0022407"	"regulation of cell-cell adhesion"	"64/1136"	"493/18870"	4.97095321690655e-09	1.9735426204435e-07	1.53775442012396e-07	"8764/80149/149233/387597/6375/7292/11221/57162/84695/3557/3329/1493/3485/5270/11148/941/604/7037/10563/3558/59067/836/3659/3565/972/84868/8728/9308/7124/3112/7422/27242/857/1960/3620/3717/29126/6363/8013/445/283234/2615/5962/3559/1326/3902/3458/3479/6541/8600/10673/384/80381/8651/3965/10148/970/8740/6370/3594/634/5329/259307/3956"	64
"136"	"ES_Adultos"	"GO:0000077"	"DNA damage checkpoint signaling"	"27/1136"	"126/18870"	6.06802048444966e-09	2.39124955387201e-07	1.86322531522517e-07	"26270/63967/4582/25896/51514/51776/580/83666/151636/8870/1026/595/1111/983/1017/675/5888/79968/54962/90381/641/5347/672/146956/83990/51512/29980"	27
"137"	"ES_Adultos"	"GO:0042093"	"T-helper cell differentiation"	"20/1136"	"73/18870"	6.67361474944119e-09	2.61056106375199e-07	2.03410951109128e-07	"80149/149233/64218/7292/84695/8809/941/604/3558/59067/5734/3565/3662/4602/6363/10538/9021/3594/602/5971"	20
"138"	"ES_Adultos"	"GO:0051988"	"regulation of attachment of spindle microtubules to kinetochore"	"11/1136"	"21/18870"	7.2353719630483e-09	2.80964809076036e-07	2.18923509723275e-07	"55143/4751/1894/891/29127/9735/90417/55055/9212/10615/332"	11
"139"	"ES_Adultos"	"GO:0002449"	"lymphocyte mediated immunity"	"52/1136"	"368/18870"	8.20602898957185e-09	3.16348363945813e-07	2.46493837993394e-07	"5052/149233/57823/6375/7292/725/1130/9156/91543/8809/3329/7855/4292/10039/941/604/7037/7468/3558/59067/3565/972/84868/203068/4049/7124/6891/80328/80329/196/64005/7186/10383/710/3902/57379/7374/5027/10538/3507/708/3965/79915/970/718/3383/9466/3594/634/5817/602/259307"	52
"140"	"ES_Adultos"	"GO:0007260"	"tyrosine phosphorylation of STAT protein"	"21/1136"	"82/18870"	1.05518422798667e-08	4.03854682941662e-07	3.14677432019048e-07	"8784/149233/83666/54625/3558/59067/3562/1437/3596/3565/7124/857/3717/1270/22876/3458/3479/8651/9021/3976/5008"	21
"141"	"ES_Adultos"	"GO:0042102"	"positive regulation of T cell proliferation"	"24/1136"	"105/18870"	1.10244921053077e-08	4.18930700001694e-07	3.26424435418811e-07	"149233/6375/7292/3485/11148/941/7037/3558/59067/3565/84868/3717/29126/6363/283234/3559/3479/6541/10673/80381/3965/10148/970/3594"	24
"142"	"ES_Adultos"	"GO:0002821"	"positive regulation of adaptive immune response"	"27/1136"	"130/18870"	1.23540055645636e-08	4.66122763145235e-07	3.6319577389512e-07	"149233/6375/7292/91543/8809/3329/7855/4292/7037/7468/3558/3565/4049/7124/6891/80328/80329/3717/29126/7186/5027/10673/79915/718/9466/3594/5817"	27
"143"	"ES_Adultos"	"GO:0002695"	"negative regulation of leukocyte activation"	"35/1136"	"202/18870"	1.38848403398263e-08	5.19729268503209e-07	4.04965148271792e-07	"8764/80149/387597/6375/7292/3398/57162/84695/1493/10039/4345/941/604/3558/836/3659/3565/972/84868/7940/27242/7128/3620/29126/51083/2615/3559/3902/384/7301/8651/3965/634/259307/64092"	35
"144"	"ES_Adultos"	"GO:0002699"	"positive regulation of immune effector process"	"42/1136"	"270/18870"	1.39701664278118e-08	5.19729268503209e-07	4.04965148271792e-07	"7293/8764/149233/6375/7292/91543/8809/3329/7855/4292/941/7037/7468/3558/59067/3567/3596/3565/972/4049/7124/6891/80328/80329/3663/6363/8013/7186/9188/3902/3458/5027/144811/8482/2242/8140/136/3965/79915/718/3594/5817"	42
"145"	"ES_Adultos"	"GO:0002366"	"leukocyte activation involved in immune response"	"45/1136"	"301/18870"	1.48817883189658e-08	5.49799401784013e-07	4.28395339181924e-07	"80149/149233/64218/7292/9156/84695/8809/3329/4292/10039/941/604/7037/7468/3558/59067/5734/3596/3565/972/84868/3662/7124/4602/6363/8013/57379/3458/7374/10538/2242/3394/136/3965/79915/6348/3430/9021/3383/9466/3594/634/602/5971/3956"	45
"146"	"ES_Adultos"	"GO:0050870"	"positive regulation of T cell activation"	"40/1136"	"251/18870"	1.54245312959628e-08	5.65920734444978e-07	4.4095683661344e-07	"8764/149233/6375/7292/11221/3329/3485/11148/941/604/7037/3558/59067/3565/972/84868/9308/3112/857/1960/3717/29126/6363/283234/3559/1326/3458/3479/6541/8600/10673/80381/8651/3965/10148/970/8740/3594/259307/3956"	40
"147"	"ES_Adultos"	"GO:0002286"	"T cell activation involved in immune response"	"26/1136"	"123/18870"	1.56004478662648e-08	5.68454675674853e-07	4.4293124511428e-07	"80149/149233/64218/7292/84695/8809/941/604/3558/59067/5734/3565/972/84868/3662/4602/6363/3458/10538/3965/9021/3383/3594/634/602/5971"	26
"148"	"ES_Adultos"	"GO:0071897"	"DNA biosynthetic process"	"34/1136"	"194/18870"	1.65894826359069e-08	6.00381276347105e-07	4.67807967205164e-07	"4751/51514/1063/1545/10039/10721/5984/890/2247/7015/22948/55651/7124/1026/3326/6950/908/5982/79075/6240/10714/1111/5985/5983/7027/5427/3320/9768/80119/55512/9212/8877/7083/7298"	34
"149"	"ES_Adultos"	"GO:0000082"	"G1/S transition of mitotic cell cycle"	"40/1136"	"252/18870"	1.72935237301067e-08	6.21632069217349e-07	4.84366262085065e-07	"1870/6491/1031/4582/128239/9928/3398/6241/993/890/7015/1026/1021/2146/1978/9134/1029/6240/7465/595/5962/983/894/586/1017/1019/144455/7027/5720/5721/1033/4331/8110/1543/990/5932/596/25959/898/51512"	40
"150"	"ES_Adultos"	"GO:0050866"	"negative regulation of cell activation"	"37/1136"	"223/18870"	1.78811054846555e-08	6.38439470995754e-07	4.97462334147464e-07	"8764/80149/387597/6375/7292/3398/57162/84695/1493/5270/10039/4345/941/604/3558/836/3659/3565/972/84868/7940/27242/7128/5154/3620/29126/51083/2615/3559/3902/384/7301/8651/3965/634/259307/64092"	37
"151"	"ES_Adultos"	"GO:0032729"	"positive regulation of type II interferon production"	"20/1136"	"77/18870"	1.8151890091461e-08	6.43787035243816e-07	5.01629074948585e-07	"149233/3595/7292/8809/3329/7855/3558/59067/84868/4049/7124/3717/80381/3394/8140/3965/10148/9466/3594/602"	20
"152"	"ES_Adultos"	"GO:1902750"	"negative regulation of cell cycle G2/M phase transition"	"19/1136"	"70/18870"	1.87877063025199e-08	6.61924486949707e-07	5.15761501703195e-07	"63967/4998/51514/580/8870/1026/1111/983/79035/90381/641/9088/5347/9212/990/672/5932/22809/29980"	19
"153"	"ES_Adultos"	"GO:0046634"	"regulation of alpha-beta T cell activation"	"25/1136"	"116/18870"	1.94837070138735e-08	6.81929745485572e-07	5.31349295156744e-07	"8764/80149/149233/6375/7292/84695/941/604/3558/3659/3565/3662/9308/639/3717/29126/6363/3559/3458/384/10538/8651/3965/10148/3594"	25
"154"	"ES_Adultos"	"GO:0050868"	"negative regulation of T cell activation"	"27/1136"	"133/18870"	2.06169645625782e-08	7.16877460607295e-07	5.58580023718149e-07	"8764/80149/387597/6375/7292/57162/84695/1493/941/604/3558/836/3659/3565/972/84868/27242/3620/29126/2615/3559/3902/384/8651/3965/634/259307"	27
"155"	"ES_Adultos"	"GO:1904029"	"regulation of cyclin-dependent protein kinase activity"	"21/1136"	"85/18870"	2.10341509662556e-08	7.26634306107012e-07	5.66182409467632e-07	"1031/84722/993/890/891/995/1026/3326/9134/1029/595/894/1033/4331/9133/641/899/9088/5347/990/898"	21
"156"	"ES_Adultos"	"GO:0002263"	"cell activation involved in immune response"	"45/1136"	"305/18870"	2.23769356362891e-08	7.68034177968116e-07	5.98440560514136e-07	"80149/149233/64218/7292/9156/84695/8809/3329/4292/10039/941/604/7037/7468/3558/59067/5734/3596/3565/972/84868/3662/7124/4602/6363/8013/57379/3458/7374/10538/2242/3394/136/3965/79915/6348/3430/9021/3383/9466/3594/634/602/5971/3956"	45
"157"	"ES_Adultos"	"GO:2000514"	"regulation of CD4-positive, alpha-beta T cell activation"	"20/1136"	"78/18870"	2.3043197085779e-08	7.85832105745795e-07	6.12308435383249e-07	"80149/149233/6375/7292/84695/941/604/3558/3565/3662/9308/29126/6363/3559/3458/384/10538/8651/3965/3594"	20
"158"	"ES_Adultos"	"GO:1903039"	"positive regulation of leukocyte cell-cell adhesion"	"42/1136"	"275/18870"	2.40411675413056e-08	8.14643384202201e-07	6.34757745743623e-07	"8764/149233/6375/7292/11221/3329/3485/11148/941/604/7037/3558/59067/3565/972/84868/9308/7124/3112/857/1960/3717/29126/6363/8013/283234/3559/1326/3458/3479/6541/8600/10673/80381/8651/3965/10148/970/8740/3594/259307/3956"	42
"159"	"ES_Adultos"	"GO:0051656"	"establishment of organelle localization"	"60/1136"	"469/18870"	2.59168450164935e-08	8.72643135998387e-07	6.79950270985684e-07	"199953/55143/11004/84722/4000/83540/9928/4751/1063/1058/57405/4430/547/151648/4292/1894/7345/1062/4085/891/4001/3596/3565/3833/55166/64005/2669/8013/89958/81930/113130/9638/56288/29127/9700/3458/9735/5901/90417/57082/51203/4643/55055/2242/5347/55512/81620/9212/9423/136/3965/10615/80179/3837/55062/332/10403/84823/147841/4744"	60
"160"	"ES_Adultos"	"GO:1903038"	"negative regulation of leukocyte cell-cell adhesion"	"29/1136"	"152/18870"	2.6923189561413e-08	9.00826216771806e-07	7.01910099257493e-07	"8764/80149/387597/6375/7292/57162/84695/1493/941/604/3558/836/3659/3565/972/84868/27242/3620/29126/445/2615/3559/3902/384/8651/3965/6370/634/259307"	29
"161"	"ES_Adultos"	"GO:1903131"	"mononuclear cell differentiation"	"61/1136"	"481/18870"	2.7408173144534e-08	9.11321757055756e-07	7.1008806475773e-07	"3604/80149/8503/149233/1435/64218/7292/55509/11221/91543/3398/84695/8809/1493/7855/941/604/3558/59067/5734/1437/3659/3565/1958/972/27166/3662/9308/7422/639/4602/9734/1021/2146/1960/6363/4783/3601/3559/3902/57379/3458/10673/2353/10538/7301/2242/8651/4495/3394/2175/3965/9021/2194/596/3594/602/5971/259307/3956/7226"	61
"162"	"ES_Adultos"	"GO:0030890"	"positive regulation of B cell proliferation"	"15/1136"	"45/18870"	2.81072474290512e-08	9.28761219394735e-07	7.23676628804208e-07	"7293/57162/604/7037/952/3558/59067/3567/3596/3565/972/1026/10673/79915/596"	15
"163"	"ES_Adultos"	"GO:0042113"	"B cell activation"	"42/1136"	"278/18870"	3.30363619323203e-08	1.08489781160459e-06	8.45335888820515e-07	"7293/1503/8503/7292/9156/3398/57162/3329/1493/4292/10039/604/7037/7468/952/3558/59067/836/3567/3596/3565/972/1026/27242/7128/196/9734/2146/57379/7374/10673/10538/3394/79915/596/970/9466/684/602/259307/3956/64092"	42
"164"	"ES_Adultos"	"GO:1901976"	"regulation of cell cycle checkpoint"	"15/1136"	"46/18870"	3.93971259711784e-08	1.28584484764828e-06	1.00191076573781e-06	"55143/348654/51776/580/4085/891/675/7517/57082/5888/79968/9212/672/332/10403"	15
"165"	"ES_Adultos"	"GO:1905820"	"positive regulation of chromosome separation"	"12/1136"	"29/18870"	4.26458766154279e-08	1.3833906316712e-06	1.07791695835401e-06	"55143/991/23397/5359/10051/64151/54892/10592/9700/9787/9212/332"	12
"166"	"ES_Adultos"	"GO:0044818"	"mitotic G2/M transition checkpoint"	"16/1136"	"53/18870"	4.79055849177728e-08	1.54459219250031e-06	1.20352276495177e-06	"63967/4998/51514/580/8870/1026/1111/983/79035/90381/641/5347/990/672/5932/29980"	16
"167"	"ES_Adultos"	"GO:0002443"	"leukocyte mediated immunity"	"59/1136"	"466/18870"	4.92133283317283e-08	1.5771982332819e-06	1.22892889645115e-06	"5052/149233/57823/6375/7292/725/1130/9156/91543/8809/3329/7855/4292/10039/941/604/7037/7468/3558/59067/3596/3565/972/84868/203068/4049/7124/6891/80328/80329/196/64005/8013/7186/10383/710/9188/3902/57379/7374/5027/10538/3507/2242/708/136/3965/79915/6348/970/718/3383/9466/684/3594/634/5817/602/259307"	59
"168"	"ES_Adultos"	"GO:0000079"	"regulation of cyclin-dependent protein serine/threonine kinase activity"	"20/1136"	"82/18870"	5.73701694374365e-08	1.82760060722852e-06	1.42403862114482e-06	"1031/84722/993/890/891/995/1026/9134/1029/595/894/1033/4331/9133/641/899/9088/5347/990/898"	20
"169"	"ES_Adultos"	"GO:0035825"	"homologous recombination"	"18/1136"	"68/18870"	6.7801385392078e-08	2.12471790091477e-06	1.65554790142508e-06	"378708/8438/580/4292/84057/9319/80010/10635/5888/7153/29893/672/146956/83990/201254/5932/29128/11144"	18
"170"	"ES_Adultos"	"GO:0022408"	"negative regulation of cell-cell adhesion"	"34/1136"	"205/18870"	6.78373580414709e-08	2.12471790091477e-06	1.65554790142508e-06	"8764/80149/387597/6375/7292/57162/84695/3557/1493/5270/941/604/3558/836/3659/3565/972/84868/7422/27242/3620/3717/29126/445/2615/5962/3559/3902/384/8651/3965/6370/634/259307"	34
"171"	"ES_Adultos"	"GO:0051347"	"positive regulation of transferase activity"	"54/1136"	"414/18870"	6.78951208938929e-08	2.12471790091477e-06	1.65554790142508e-06	"11315/63967/7075/991/7804/149233/84722/1435/9928/4751/1622/5899/8536/4345/1894/5984/1062/2247/3565/1958/972/7124/1026/7422/3326/5558/6950/5154/5982/2146/79075/3717/6363/4915/7295/9966/7186/595/894/4665/3458/3479/5985/5983/8600/10979/3320/7301/5347/9212/9618/23531/8792/27338"	54
"172"	"ES_Adultos"	"GO:0002573"	"myeloid leukocyte differentiation"	"37/1136"	"235/18870"	7.31874156783295e-08	2.27694182110359e-06	1.77415846685911e-06	"149233/1435/10100/55509/3398/9290/7037/1437/3567/3565/972/3662/7124/7422/135228/29887/1021/169200/7071/10221/6363/56834/3458/54997/8600/2353/10538/2242/8651/4495/6348/6776/2194/8792/634/5971/3976"	37
"173"	"ES_Adultos"	"GO:0045132"	"meiotic chromosome segregation"	"21/1136"	"91/18870"	7.56244899157804e-08	2.33908306018577e-06	1.82257797606085e-06	"83540/259266/23397/151648/4292/10051/84057/9319/9232/7272/9134/10592/9700/9133/5347/29893/83990/10403/256126/898/11144"	21
"174"	"ES_Adultos"	"GO:0002637"	"regulation of immunoglobulin production"	"19/1136"	"77/18870"	1.00445831312788e-07	3.08885446580364e-06	2.40678846187866e-06	"7293/6375/7292/4292/10039/604/7037/7468/3558/59067/3567/3596/3565/7124/115004/7186/79915/124626/9466"	19
"175"	"ES_Adultos"	"GO:1902105"	"regulation of leukocyte differentiation"	"45/1136"	"321/18870"	1.0476326808841e-07	3.20310681741575e-06	2.49581215808928e-06	"80149/149233/1435/7292/11221/3398/84695/1493/9290/941/604/3558/3659/3567/3565/972/27166/3662/9308/7124/639/1021/1960/169200/7071/10221/6363/56834/3601/3559/3902/3458/54997/8600/2353/10538/2242/8651/2175/3965/6348/3594/634/259307/3976"	45
"176"	"ES_Adultos"	"GO:0043370"	"regulation of CD4-positive, alpha-beta T cell differentiation"	"16/1136"	"56/18870"	1.13238642999268e-07	3.44245474717774e-06	2.68230842785634e-06	"80149/149233/7292/84695/941/604/3558/3565/3662/9308/6363/3458/10538/8651/3965/3594"	16
"177"	"ES_Adultos"	"GO:0022409"	"positive regulation of cell-cell adhesion"	"45/1136"	"322/18870"	1.14862521649051e-07	3.47198076802813e-06	2.70531465462896e-06	"8764/149233/6375/7292/11221/3329/3485/11148/941/604/7037/10563/3558/59067/3565/972/84868/8728/9308/7124/3112/857/1960/3717/29126/6363/8013/283234/3559/1326/3458/3479/6541/8600/10673/80381/8651/3965/10148/970/8740/3594/5329/259307/3956"	45
"178"	"ES_Adultos"	"GO:0002700"	"regulation of production of molecular mediator of immune response"	"32/1136"	"191/18870"	1.28885048201628e-07	3.87383308719017e-06	3.01843187521862e-06	"7293/8764/6375/7292/91543/8809/7855/4292/10039/604/7037/7468/3558/59067/3567/3596/3565/972/7124/115004/3663/8013/7186/9188/5027/144811/8482/8140/79915/124626/9466/684"	32
"179"	"ES_Adultos"	"GO:0032609"	"type II interferon production"	"24/1136"	"119/18870"	1.41685880471457e-07	4.18760491171195e-06	3.2629181128456e-06	"80149/149233/3595/6375/7292/8809/3329/7855/3558/59067/84868/4049/7124/3717/29126/80381/3394/8140/708/3965/10148/9466/3594/602"	24
"180"	"ES_Adultos"	"GO:0032649"	"regulation of type II interferon production"	"24/1136"	"119/18870"	1.41685880471457e-07	4.18760491171195e-06	3.2629181128456e-06	"80149/149233/3595/6375/7292/8809/3329/7855/3558/59067/84868/4049/7124/3717/29126/80381/3394/8140/708/3965/10148/9466/3594/602"	24
"181"	"ES_Adultos"	"GO:1901989"	"positive regulation of cell cycle phase transition"	"24/1136"	"119/18870"	1.41685880471457e-07	4.18760491171195e-06	3.2629181128456e-06	"991/6491/8444/51514/6241/993/7015/891/995/2146/6240/113130/595/5962/983/894/9700/1019/7027/9787/3306/1543/79915/990"	24
"182"	"ES_Adultos"	"GO:0002820"	"negative regulation of adaptive immune response"	"17/1136"	"64/18870"	1.48099869881219e-07	4.35299065065239e-06	3.39178416744541e-06	"8764/80149/6375/7292/725/84695/10039/941/604/3558/3565/84868/196/9466/634/259307/64092"	17
"183"	"ES_Adultos"	"GO:0042558"	"pteridine-containing compound metabolic process"	"12/1136"	"32/18870"	1.5673324621581e-07	4.58143335092367e-06	3.56978324810792e-06	"6697/10797/1719/25902/8836/5092/6472/2643/4522/7298/573971/6573"	12
"184"	"ES_Adultos"	"GO:0044774"	"mitotic DNA integrity checkpoint signaling"	"20/1136"	"87/18870"	1.64559886988421e-07	4.78392676928086e-06	3.72756304262525e-06	"63967/4998/4582/51514/51776/8870/1026/595/1111/983/1017/54962/90381/641/5347/990/672/146956/51512/29980"	20
"185"	"ES_Adultos"	"GO:0002708"	"positive regulation of lymphocyte mediated immunity"	"25/1136"	"129/18870"	1.76414271299344e-07	5.07310228817574e-06	3.95288421267037e-06	"149233/6375/7292/91543/8809/3329/7855/4292/7037/7468/3558/59067/3565/4049/7124/6891/80328/80329/7186/3902/5027/79915/718/3594/5817"	25
"186"	"ES_Adultos"	"GO:0007127"	"meiosis I"	"25/1136"	"129/18870"	1.76414271299344e-07	5.07310228817574e-06	3.95288421267037e-06	"378708/8438/4292/84057/9319/9232/9134/80010/1164/10635/9700/675/3306/5888/9133/5347/7153/29893/146956/83990/201254/10403/256126/898/11144"	25
"187"	"ES_Adultos"	"GO:0051984"	"positive regulation of chromosome segregation"	"11/1136"	"27/18870"	1.91168593912402e-07	5.46783290115042e-06	4.26045230801946e-06	"55143/23397/10051/64151/891/54892/10592/983/9212/990/332"	11
"188"	"ES_Adultos"	"GO:0042100"	"B cell proliferation"	"22/1136"	"104/18870"	1.93724455792911e-07	5.51130537335982e-06	4.29432539776236e-06	"7293/1503/57162/3329/1493/604/7037/952/3558/59067/836/3567/3596/3565/972/1026/27242/196/10673/79915/596/970"	22
"189"	"ES_Adultos"	"GO:0042531"	"positive regulation of tyrosine phosphorylation of STAT protein"	"17/1136"	"66/18870"	2.40914657576698e-07	6.81737222504272e-06	5.31199284175272e-06	"8784/149233/83666/54625/3558/59067/3562/1437/3596/3565/7124/3717/1270/3458/3479/3976/5008"	17
"190"	"ES_Adultos"	"GO:0031055"	"chromatin remodeling at centromere"	"7/1136"	"10/18870"	2.8763446042233e-07	8.02182422721488e-06	6.25048353913182e-06	"4678/1058/55355/387103/401541/11339/55839"	7
"191"	"ES_Adultos"	"GO:0034080"	"CENP-A containing chromatin assembly"	"7/1136"	"10/18870"	2.8763446042233e-07	8.02182422721488e-06	6.25048353913182e-06	"4678/1058/55355/387103/401541/11339/55839"	7
"192"	"ES_Adultos"	"GO:0010720"	"positive regulation of cell development"	"55/1136"	"444/18870"	2.88001584097377e-07	8.02182422721488e-06	6.25048353913182e-06	"7161/7804/149233/23566/1435/7292/259266/11221/3398/5270/941/604/3558/2247/1462/3567/3565/972/9308/4049/7124/7422/4602/7516/1960/169200/7071/10221/6363/4915/3601/3559/118738/1959/3458/54997/8600/10419/2353/23191/3706/8482/145864/2242/8651/8140/9423/3965/596/9294/3594/284403/259307/3976/23654"	55
"193"	"ES_Adultos"	"GO:1901992"	"positive regulation of mitotic cell cycle phase transition"	"21/1136"	"98/18870"	2.90516336564649e-07	8.04764833198257e-06	6.27060528914669e-06	"991/6491/51514/6241/993/7015/891/995/6240/113130/595/5962/983/894/9700/1019/7027/9787/3306/1543/990"	21
"194"	"ES_Adultos"	"GO:0044843"	"cell cycle G1/S phase transition"	"40/1136"	"279/18870"	2.9195415941215e-07	8.04764833198257e-06	6.27060528914669e-06	"1870/6491/1031/4582/128239/9928/3398/6241/993/890/7015/1026/1021/2146/1978/9134/1029/6240/7465/595/5962/983/894/586/1017/1019/144455/7027/5720/5721/1033/4331/8110/1543/990/5932/596/25959/898/51512"	40
"195"	"ES_Adultos"	"GO:0000076"	"DNA replication checkpoint signaling"	"9/1136"	"18/18870"	2.9834653288175e-07	8.1814616233552e-06	6.37487057237293e-06	"63967/4998/1763/8914/54962/90381/81620/990/8318"	9
"196"	"ES_Adultos"	"GO:0010972"	"negative regulation of G2/M transition of mitotic cell cycle"	"17/1136"	"67/18870"	3.04873628477549e-07	8.31757796666955e-06	6.48093035867525e-06	"63967/4998/51514/580/8870/1026/1111/983/79035/90381/641/5347/9212/990/672/5932/29980"	17
"197"	"ES_Adultos"	"GO:0007162"	"negative regulation of cell adhesion"	"43/1136"	"312/18870"	3.23535969928776e-07	8.74241912839908e-06	6.81196013605769e-06	"8764/80149/2633/4582/387597/6375/7292/1545/57162/84695/3557/1493/5270/941/604/3558/836/3659/3565/81848/972/84868/7422/27242/3620/3717/29126/1029/3371/445/2615/5962/3559/3902/27289/23603/384/8651/3965/6370/634/259307/23654"	43
"198"	"ES_Adultos"	"GO:0002381"	"immunoglobulin production involved in immunoglobulin-mediated immune response"	"16/1136"	"60/18870"	3.23732437649365e-07	8.74241912839908e-06	6.81196013605769e-06	"6375/7292/9156/3329/4292/10039/604/7037/7468/3558/3565/57379/7374/10538/79915/9466"	16
"199"	"ES_Adultos"	"GO:0002702"	"positive regulation of production of molecular mediator of immune response"	"25/1136"	"136/18870"	5.05294145945412e-07	1.35765901839878e-05	1.05786727630677e-05	"7293/8764/6375/7292/91543/8809/7855/4292/7037/7468/3558/59067/3567/3596/3565/972/3663/8013/7186/9188/5027/144811/8482/8140/79915"	25
"200"	"ES_Adultos"	"GO:0030217"	"T cell differentiation"	"42/1136"	"307/18870"	5.40895071863855e-07	1.44556051502433e-05	1.12635878673641e-05	"3604/80149/8503/149233/64218/7292/11221/91543/84695/8809/1493/7855/941/604/3558/59067/5734/3659/3565/1958/972/27166/3662/9308/639/4602/1021/1960/6363/3559/3902/3458/10538/8651/2175/3965/9021/596/3594/602/5971/259307"	42
"201"	"ES_Adultos"	"GO:0002204"	"somatic recombination of immunoglobulin genes involved in immune response"	"15/1136"	"55/18870"	5.48878240667132e-07	1.44556051502433e-05	1.12635878673641e-05	"7292/9156/3329/4292/10039/604/7037/7468/3558/3565/57379/7374/10538/79915/9466"	15
"202"	"ES_Adultos"	"GO:0002208"	"somatic diversification of immunoglobulins involved in immune response"	"15/1136"	"55/18870"	5.48878240667132e-07	1.44556051502433e-05	1.12635878673641e-05	"7292/9156/3329/4292/10039/604/7037/7468/3558/3565/57379/7374/10538/79915/9466"	15
"203"	"ES_Adultos"	"GO:0045190"	"isotype switching"	"15/1136"	"55/18870"	5.48878240667132e-07	1.44556051502433e-05	1.12635878673641e-05	"7292/9156/3329/4292/10039/604/7037/7468/3558/3565/57379/7374/10538/79915/9466"	15
"204"	"ES_Adultos"	"GO:0030099"	"myeloid cell differentiation"	"53/1136"	"430/18870"	5.53479987255562e-07	1.45049927694561e-05	1.13020699497662e-05	"149233/1435/10100/8444/55509/3398/2034/6772/9290/604/7037/3148/836/1437/3567/3565/972/94081/3662/7124/7422/135228/4602/29887/1021/54892/169200/7071/10221/3717/6363/56834/10935/29127/3458/54997/8600/4792/2353/10538/2242/8651/4495/3394/6348/6776/2194/8792/634/5971/6510/3276/3976"	53
"205"	"ES_Adultos"	"GO:0034502"	"protein localization to chromosome"	"23/1136"	"119/18870"	5.70555239110572e-07	1.48791856473933e-05	1.15936353540631e-05	"1058/10039/7015/22948/55166/7272/253714/6950/908/2146/157570/4796/983/79035/9735/675/701/57082/55055/5347/83903/9212/10856"	23
"206"	"ES_Adultos"	"GO:0045931"	"positive regulation of mitotic cell cycle"	"24/1136"	"128/18870"	5.83876066728936e-07	1.51522959755997e-05	1.18064387716485e-05	"991/6491/51514/6241/993/7015/891/995/1978/6240/113130/595/5962/983/894/9700/1019/675/7027/9787/3306/1543/990/8877"	24
"207"	"ES_Adultos"	"GO:0010639"	"negative regulation of organelle organization"	"47/1136"	"363/18870"	5.93444693150363e-07	1.53258532405822e-05	1.19416719551667e-05	"3925/55143/991/4000/83540/1063/348654/822/699/57405/7037/4085/9319/891/27166/8870/7272/286151/347240/57175/5962/9638/1111/11130/10105/9700/3479/9735/4331/6710/7517/701/57082/80119/55055/50810/899/5347/83903/9212/7153/672/332/10403/147841/25959/3976"	47
"208"	"ES_Adultos"	"GO:1902107"	"positive regulation of leukocyte differentiation"	"30/1136"	"185/18870"	6.49694435091311e-07	1.66171845898354e-05	1.29478577195829e-05	"149233/1435/7292/11221/3398/941/604/3558/3567/3565/972/9308/7124/1960/169200/7071/10221/6363/3601/3559/3458/54997/8600/2353/2242/8651/3965/3594/259307/3976"	30
"209"	"ES_Adultos"	"GO:1903708"	"positive regulation of hemopoiesis"	"30/1136"	"185/18870"	6.49694435091311e-07	1.66171845898354e-05	1.29478577195829e-05	"149233/1435/7292/11221/3398/941/604/3558/3567/3565/972/9308/7124/1960/169200/7071/10221/6363/3601/3559/3458/54997/8600/2353/2242/8651/3965/3594/259307/3976"	30
"210"	"ES_Adultos"	"GO:0045589"	"regulation of regulatory T cell differentiation"	"12/1136"	"36/18870"	6.9397537737151e-07	1.76648277876384e-05	1.3764165379446e-05	"7292/11221/1493/604/3558/3659/3902/3458/8651/2175/3965/259307"	12
