logFC	logCPM	PValue	FDR
TLR1	5.97378069135257	-0.561922551972563	0.00553441637761939	0.194030697240695
SUN2	-0.539301321266126	9.66994217089354	0.00554641276862286	0.194030697240695
ANKRD13D	-0.58079740909611	7.00502287387947	0.00555295728119518	0.194030697240695
GXYLT1	0.781036762576018	4.74657010362661	0.00555371206853311	0.194030697240695
SYNE2	0.89867988192295	7.95204632292319	0.0055538802217644	0.194030697240695
GCH1	0.861320708793463	5.94997300936316	0.00555513508774118	0.194030697240695
CTSD	-0.718038861775568	6.94487493470576	0.00559728133137375	0.1952278196016
NR4A3	2.74097887979301	1.63966594151075	0.00562492795557869	0.195916556699994
C1orf162	-0.505807788414104	6.43461115637394	0.00564493787413129	0.196337748023256
LINC01089	-0.652827146824774	7.23380713758084	0.00565469130227672	0.196401526057648
ST8SIA4	0.698316834793196	4.09141499761386	0.00566990167132683	0.196654393772355
SYN1	-2.37623751534157	-0.386617311027051	0.00568472134739739	0.196893023315793
ENPP2	1.2015598076076	2.28507694086814	0.00569576581546508	0.197000413469621
MXD4	-0.628144191301263	6.00212300021653	0.00575962349459363	0.19893161983625
TFE3	0.482177774021619	6.10130082316333	0.00583114509170295	0.201121790165704
IL12A	1.51786848067728	1.52000698625441	0.00588569148182501	0.202721198691359
KPNB1	0.486860766714944	8.22106657698926	0.00590838008802933	0.203220413041663
ISYNA1	-0.719475209003775	5.20547524185528	0.00596310719247797	0.204818691504517
GPATCH4	0.616350450075368	4.59745051170076	0.0059779904842762	0.205045900441999
ARAP2	0.927671179534041	5.90291769002969	0.00600007942947845	0.205519295264691
YWHAG	0.485631454618655	6.37725415910052	0.00606191070581133	0.207350791163331
SENP1	0.514957382876931	4.81805112804054	0.00608409627779046	0.207823007703754
CD74	1.2934044144751	8.62415472043661	0.00609306341376028	0.207843025581625
ITM2C	-0.683943452320561	5.32883608410297	0.00611043434513634	0.208149260061863
GARS1	0.443043615682757	6.74098850480569	0.00617534392845419	0.20949694178647
TRIM56	0.643595313453111	7.91898775183562	0.00618106104309982	0.20949694178647
ARRB1	-0.535342287253244	5.45631309565325	0.00618113134351741	0.20949694178647
IFFO2	-0.515711075753024	5.74110451293109	0.00618524501625009	0.20949694178647
DGKA	-0.524831733566563	9.62882299521335	0.00619223590989487	0.20949694178647
CYLD-AS1	1.64839779330375	1.26757024074511	0.00622850481237577	0.210436908504233
KIF19	-2.43021187641011	-1.07056227816203	0.00624791867190504	0.210805626047038
ARHGEF11	-0.671927803846327	5.83153207481741	0.00629669163099845	0.21191977352678
ATP2A3	-0.710370286931274	6.64540809187316	0.00629803109356171	0.21191977352678
EIF5A	0.582287343751228	7.70387673912068	0.0063275952121216	0.212626061877241
PRMT7	-0.512176993199545	5.67877901314389	0.00635043446810458	0.213104769113025
INF2	-0.840622144627724	6.51825626136259	0.0064062237444613	0.214686408971481
TPCN1	-0.441702406201326	6.66710724407073	0.00643822686748951	0.215467730211703
NDUFA12	-0.637193476553737	6.60181559533852	0.00645993841479164	0.215902982140725
RNF216-IT1	4.82378309763669	-3.14124579290627	0.0064697082980678	0.215938487326761
SNPH	-0.51244752483191	6.03922386984122	0.00653087974250747	0.217425095500754
SZRD1	0.580922421472501	6.87713178733358	0.00653178338433251	0.217425095500754
PUS3	0.786966773256249	4.42612776164731	0.00654117856909601	0.217445961575083
SOX12	-0.817929058714889	4.68719131536459	0.00655002721468926	0.217448627706933
PYCR1	1.33991110066466	2.604741929267	0.0065592493937692	0.217463670743426
LRRC8B	0.627890481364395	4.78674457992273	0.00657365148435907	0.217545028768075
LINC01675	3.15643904727982	-2.49344062977973	0.00657924801709973	0.217545028768075
CXorf38	0.465849116761596	5.8246246887596	0.00661865582505353	0.218556652204397
LACC1	1.4907998842278	2.12693233300407	0.0066335920540682	0.218758576261752
C21orf91	0.935248038688533	5.56645001605105	0.00669183385297255	0.220386172270739
XKR8	-0.622256128206705	4.61418242215491	0.00673479186896074	0.221506768645036
ZDHHC23	1.0714701529066	3.48986334371429	0.00675131286475472	0.221634239849493
TNFSF14	1.65268963208554	4.01592466260557	0.00675654201081562	0.221634239849493
PPP1R3E	-0.548582373650377	6.59792271988941	0.00684227466872441	0.223959708652329
CIMAP1B	1.58291957151869	0.706274032193264	0.00684549615542826	0.223959708652329
KNOP1	0.625968572557493	4.23923020529208	0.00688200316613878	0.224671594137772
CEP112	1.5859868290369	-0.525936260099564	0.00688537487578961	0.224671594137772
TTC9-DT	-1.43223701305827	-0.196564416929169	0.00690448271258826	0.224999036517052
THEMIS2	-0.798731607796695	6.07014509926357	0.00692354249716826	0.225324055626346
APBB1IP	-0.458788068660251	6.98315793052378	0.006980052312001	0.226660750383968
RHBDD1	0.507464322216646	4.76533001835435	0.00698289500759512	0.226660750383968
SLC9A8	0.530523449239651	5.24431999040534	0.00702414188111924	0.227378178827172
FCER1G	-1.35535857189686	2.16950258560232	0.00702717275060992	0.227378178827172
ST3GAL5	0.608316051734044	5.31090551243088	0.00703250385743139	0.227378178827172
MCCC2	0.444322145476541	5.98085864650906	0.00704405804819766	0.227455202522466
TECR	-0.530786848986011	6.83090743128391	0.00708372235154712	0.228008047664852
RAPGEF6	0.857827317382883	7.53839371611119	0.00708800466709786	0.228008047664852
CBLN3	1.92145642697209	4.00221429737685	0.00708876183513856	0.228008047664852
PPP1R3B	0.60896705607335	4.08934383984689	0.00710272635707808	0.2281379273509
TRPM7	0.73816908471433	7.15985725569249	0.00711119875165313	0.2281379273509
PSMB8	0.806447401913084	7.64086616960164	0.00713605132159501	0.228639453132086
CMPK2	1.41851562350654	3.05696711270901	0.00729902133090931	0.233326913766641
LRRN2	0.899252400878288	4.17059978786879	0.00730116880047235	0.233326913766641
PSMA4	0.556600100925089	6.73334343293867	0.00733304583744715	0.234044020235331
KARS1	0.551069558468195	7.38432304012078	0.00736163947621034	0.234654623869589
SP100	0.676633140505254	7.57319953592955	0.00737842050929801	0.234887612593173
CARD19	-0.869343609694078	5.67390812935674	0.00739319351396485	0.235056161477967
ITGA5	-0.573822130020805	7.18148558797607	0.00740787522633256	0.235221379945994
FAM118A	0.506925622094589	6.29339444162371	0.00746650872024958	0.23677998689702
QPCT	2.08329840648538	-1.47532510343577	0.00750663070824336	0.237748320477301
SPATA41	1.38918219089276	1.48374853088637	0.00753528230707977	0.238143375126983
JAK2	0.882266068000787	4.65285468007251	0.00753979599592086	0.238143375126983
ITGA1	1.3209538763585	2.00054514439986	0.00754791293398156	0.238143375126983
RNF213	0.67455155798761	9.24567596887398	0.00758288603612146	0.238942809161088
DNAJB1	-0.453745644425667	7.43890296939961	0.00761088631407799	0.239520773734543
PITPNC1	-0.680101080818658	6.06783187424254	0.00765886544287937	0.240334004600793
PIEZO1	-0.610918413889007	6.67267464369698	0.00766468620142886	0.240334004600793
TUBB4A	-1.02533050523998	3.36759815385783	0.00766580094516825	0.240334004600793
LTBP3	-0.515016892944419	7.45763689890113	0.00776815466304114	0.243235438748431
OSBPL7	-0.506324123711347	5.23321190582392	0.00779441106311614	0.243749810787159
SKAP1	-0.43122748551758	6.05839365078279	0.00781656652063904	0.244134802450035
NCS1	3.0393377361615	-2.36405107214935	0.00783840128590697	0.244508821999002
CPTP	-0.610961720394065	4.69126920093881	0.00785269374116877	0.244646924732719
MAP7D1	-0.513392198385644	7.69970045436915	0.00787072608705773	0.244901049225778
IL13	3.64669349933246	-1.51182370171766	0.00797248649818149	0.247756507103262
ARID3B	-0.488033373140114	5.24831879676981	0.00800918607643047	0.248585488747684
SH3PXD2A	0.673989140165151	6.45358067612671	0.00806822985073822	0.250105040085571
AKR1B1	-0.468578492038593	6.64006441701245	0.00810940260877807	0.251067509731695
CLIP4	0.768083203541007	5.52457991744688	0.0081340148604486	0.251186605262162
STN1	1.12658104696204	5.88797631967798	0.00813673050343985	0.251186605262162
CFLAR	0.525068636782532	7.55973619698848	0.00815086983630584	0.251186605262162
FBXO32	-0.571194080731234	5.3024797630914	0.00815376495971775	0.251186605262162
FAM230E	4.98391811496001	-3.0414687673634	0.00819098942345755	0.252020281280799
SCD	1.28007008272564	3.70942515323386	0.00826106485997406	0.253861397103466
USP42	0.755506903478647	5.26910657968191	0.00832927841539359	0.255640811167507
EGLN2	-0.451293824412953	7.48370876053663	0.0083444785513107	0.25572351635251
PIM1	0.463267926801367	7.18901212456487	0.00835259680815892	0.25572351635251
PIK3R2	-0.671583746148522	4.58958736935237	0.00837387779830314	0.256058934056868
FUT7	-1.84329861051051	0.482032730553373	0.00840353061103296	0.256649206432274
DACT3	1.82784588939743	-0.715854197724609	0.00846487455210773	0.258181285747659
HIVEP1	1.0703383237588	3.67638117627208	0.00847451778695087	0.258181285747659
HS3ST3B1	-0.522205712446311	5.2734727815335	0.0084908759716539	0.258362249350976
CEP135	0.707544214858597	5.85374946148478	0.00850453042272534	0.258460600432801
TENT5C	0.869762041401479	4.80073269795111	0.00856644989870892	0.260023734440737
SLC41A2	1.37627494986221	0.313669759898579	0.00860303158454401	0.260814890299642
APOL4	2.27955178157305	-1.6158094416923	0.00864069985847941	0.261637015617132
DHTKD1	0.589060906725608	4.82963377396739	0.0086526176784778	0.261678372937282
IRS2	-0.516614726520855	4.56433835419801	0.00870432763376306	0.262586131687301
AGFG1	0.745646632473603	6.33644779432744	0.00871078965524804	0.262586131687301
ANXA2R	0.646872510567189	5.86498495077995	0.00871439922491425	0.262586131687301
HMGCS1	0.735496491555817	5.86768557343329	0.00872812447437145	0.262646510864825
CENPK	-0.58007049420417	5.35858465491969	0.00873758504227916	0.262646510864825
LINC02422	-2.78901659023596	-2.7775646092592	0.00878702381138075	0.263812837165171
IFI44	1.37973973291587	5.04156566442171	0.00880401321491745	0.264003293490614
PCYT1A	0.585936020899617	5.92595133075639	0.008879272364707	0.265938496826533
ARHGEF1	-0.483689241725887	9.23350118485208	0.00890946542770031	0.266342322821411
PRSS22	-2.72537293276163	-3.01285079391863	0.00891423557166704	0.266342322821411
SNTB1	0.657835139726433	4.92545169614464	0.00894495774440322	0.266871213424424
MAP6	-2.78142506865998	-3.00305352325984	0.00895345979955323	0.266871213424424
CLIC5	1.2630844381832	3.48698040754154	0.00897306812052961	0.267087200472405
SMCHD1	0.99269525738261	9.23045370504886	0.00898224626775217	0.267087200472405
FARSB	0.480071309674957	4.93289643029496	0.00907822504584108	0.269617847798579
IL2RG	0.620132187649608	9.36146741688873	0.00912668913616957	0.270732971157738
ABTB1	-0.442066328636809	7.31679374685845	0.0092115156829033	0.272714390275135
KLC2	0.486879391984186	5.03779061724605	0.00921547881166835	0.272714390275135
ACSL4	0.630656698897455	5.12653769391821	0.00923374140958357	0.272929145668966
C16orf46	1.72959881176197	-1.06373711498588	0.00928041039617658	0.273922498284619
GADD45G	2.1803254565631	-0.557929819383094	0.00928943993940741	0.273922498284619
ARL14EP	0.540530302789207	5.89543197877742	0.00930901983455741	0.273957194840426
NTRK2	3.78762355647126	-1.9197843458376	0.00932335911251747	0.273957194840426
AHDC1	-0.571104669490757	4.49711709585805	0.00932375791142062	0.273957194840426
OPA3	0.565303896294258	4.74304832869123	0.00938735158576947	0.275282162790962
ACSL3	0.488678660642831	5.53758443672387	0.00939105245054857	0.275282162790962
HIVEP2-DT	1.23390803536169	1.4293517601247	0.00952560040589292	0.278896534198038
GRK2	-0.486663456243526	8.59051196535929	0.00957003163742644	0.279542293122082
ALG11	0.728594758187605	4.843752791809	0.00957020068795706	0.279542293122082
DYNLT3	0.625459461684883	5.11568790252157	0.00959808944045356	0.279877919548307
PKN3	-0.785536987010286	3.60965878849182	0.00961878055979426	0.279877919548307
RND1	1.52073259685153	0.664118340387724	0.00962627342587449	0.279877919548307
PDCD1LG2	2.46654909575404	-0.497495407762016	0.0096268343632689	0.279877919548307
MTERF4	-0.44987112464905	7.78135560084301	0.00968540388021168	0.281184098837207
KLF6	0.50610541137198	6.98822432752158	0.00969443947360023	0.281184098837207
PPRC1	0.426079697983957	5.83969415777392	0.00972418880695054	0.281477163981873
ZNF37A	0.511591303104427	5.15042145625897	0.00972724422486654	0.281477163981873
ZNHIT6	0.541777329700914	5.02151995339389	0.00974563405968775	0.28168062825897
ERICD	1.66456454693054	-0.957993669147364	0.00977797745901622	0.282286452859305
RNASET2	-0.649577021480816	7.9742250251568	0.00980353213970626	0.282624393021882
NDFIP2	1.11499121817603	2.88736836228962	0.00981247640597768	0.282624393021882
BORCS6	-0.600522277850501	4.40607849222379	0.00982726174623873	0.282721884042894
EPB41	-0.441915841422016	8.95503206527921	0.00984080149839297	0.282783356151387
SRFBP1	0.933668557053736	2.64620671578054	0.00988380844227645	0.283690469398164
SSH3	-0.709417962575922	3.81421438461644	0.0100379346366488	0.287781203530929
MICAL3	1.8595500383884	2.50196341766275	0.0100941772706263	0.289059471286675
SORL1	-0.649944455599839	9.60366831133394	0.0101193561679587	0.289446267138647
LRRC8A	-0.530943149260367	5.16748961348814	0.0101569882986953	0.290171395747014
KLHL21	-0.492101943038418	6.13083985562072	0.0101681093150593	0.290171395747014
SMYD2	-0.486229308324098	5.70335567711095	0.0101932192647834	0.290405335765982
GPX1	-0.596701378463761	5.48167667386142	0.0101997277088661	0.290405335765982
ATP2B4	-0.633672290549951	6.48087817451684	0.0102207927499345	0.290671375465167
PYCR1-AS1	2.92670268198231	-1.59511390763717	0.010288163717298	0.291928894060822
SETD1B	-0.46037104707903	7.12575087960779	0.0102885541114222	0.291928894060822
EPHB3	-1.52896293202607	-0.919649141187785	0.0103217017101509	0.292534720811465
MRTO4	0.553848235444142	4.51676090633668	0.0103519122148511	0.293056017141659
KLHL3	-0.537018640669571	4.82075582886438	0.0104223098415056	0.294667527987632
ZNF268	0.563042579552683	4.29266270297341	0.0104399869798689	0.294667527987632
NFRKB	-0.448161533964752	6.55952738045048	0.0104475186322755	0.294667527987632
KRTAP5-1	-1.38106526098569	0.132424187384468	0.0104563661691647	0.294667527987632
BZW1	0.483136592175795	7.48596713547289	0.0104766013856854	0.29490265353418
NBPF15	-0.502671289313945	8.43558781792435	0.0104995046653028	0.295212263259461
ZNFX1	0.600355006729413	7.36718138108188	0.0105406992683874	0.296034882397213
TMEM126B	0.570112465789177	5.26083490979321	0.0106778909233873	0.29954866177498
ITPR2	0.72688583139745	5.66401508669744	0.0107449653815375	0.301089713555648
VCPIP1	1.00225921351164	5.87387838926483	0.0108510667221404	0.303719642937201
UBLCP1	0.461811588329916	5.32016503475755	0.0108864435409088	0.304366305942499
ABCE1	0.527627460747704	6.43954580236923	0.010959029722681	0.305714717954491
GRK6	-0.516927194654122	6.9763228404641	0.0109640615064254	0.305714717954491
BAZ1A-AS1	1.31943824600485	1.83689679112316	0.010971656074015	0.305714717954491
OGFR	0.550161617999926	7.19491410633183	0.0110128385358794	0.306517825871237
SMPD2	0.722973979836163	3.37031258057237	0.0110299716882388	0.306650524547795
PHF11	0.558583680129681	7.01790391720729	0.0111657944398557	0.309911695419323
DTNBP1	0.640778249912353	4.51291780146532	0.0111722672569408	0.309911695419323
LDB1	-0.429906555100446	7.71956163691872	0.0112211361000119	0.310885668142634
MSMO1	0.647972741972271	5.24564953599545	0.0112324512543167	0.310885668142634
LTBP4	-0.579777417724546	5.84671917320028	0.0112662460965414	0.311439116080063
PLSCR3	-0.603263515019003	6.44119441916664	0.011277564669539	0.311439116080063
ETF1	0.431943822088309	6.00726003462073	0.0113230853403067	0.312348379704412
FLOT2	-0.468722761716258	7.79627157519082	0.0113397739183489	0.312461170445704
SPTLC3	2.14396147224239	-1.0464248393103	0.0113647409473552	0.312801565764108
ICE1	0.571029902133297	6.80116176835677	0.0113821125539658	0.3129323827337
COL18A1	-0.631762639987432	5.09384973967766	0.0114966943243441	0.315722327807126
IDI1	0.408441056593272	5.96175687941255	0.0115090521528143	0.315722327807126
MYO1F	-1.33504356646998	4.51500351608207	0.0116785944962203	0.319970768452018
RFLNB	-1.05546236298923	7.21905395583216	0.0116897260461119	0.319970768452018
TOP1	0.510367313019426	6.77566970612924	0.0117116904288138	0.320218534668305
NRAS	0.582671698024293	5.67656862877747	0.0117400873821174	0.320462112012142
MRPL41	-0.6492954053557	5.1960554402654	0.0117464438009209	0.320462112012142
ZFP91-CNTF	4.63103672114872	-3.23280553268823	0.0117687937865357	0.320719029793734
SNX10	1.22842029414442	2.55741755687982	0.0117928139982344	0.320736831851989
ACTN1	-0.629747461325898	7.06103084231005	0.0118023825785767	0.320736831851989
ARL6IP5	0.469514427903778	7.5842410081783	0.0118166021524286	0.320736831851989
HCN2	-1.21426271720603	1.18607766084319	0.0118211808666768	0.320736831851989
PNMA1	-0.575169819633556	5.77065746447651	0.0118401084078138	0.320899287874726
AK5	-0.555748235963295	6.50787297482001	0.0119680329407734	0.323973039657854
MRPL14	0.634933409737071	4.0675885435492	0.0119796474602303	0.323973039657854
ANKFY1	0.583592259909983	6.64428800467157	0.0120061518178514	0.323985020727096
CLVS1	-4.88908671510843	-3.29244395254529	0.0120062193656277	0.323985020727096
LMBR1L	-0.437557860757101	6.63868234505072	0.0120464052560515	0.324716091244371
ADGRL2	2.69446085969322	-2.60875949247706	0.0120658776278101	0.324887838536442
EIF2AK2	0.903543797374793	6.12756994277214	0.0120869003806302	0.325100913816973
HCAR1	2.76070984631676	-1.09715942700343	0.0121533675075596	0.326534518764865
TMEM45B	-1.37592961690785	4.11968157525839	0.0122520711489835	0.328284094278073
SPDYE11	-6.20741792652703	-2.60371230015883	0.0122647898255303	0.328284094278073
SPDYE9	-6.20741792652703	-2.60371230015883	0.0122647898255303	0.328284094278073
ECE1	-0.422031976232719	6.28555493469666	0.0122790129737774	0.328284094278073
MIR210HG	-2.40208125532284	-2.04129714671027	0.0122919479199889	0.328284094278073
URB2	0.622506969865668	3.83631021797595	0.0122979121571164	0.328284094278073
RBM7	0.628311554718489	5.33771958423532	0.0123131047152001	0.328336219174459
IRF7	0.811102290242082	6.32589205441547	0.0123969192279323	0.329993017679553
OAS1	1.31577513190901	3.87912051708961	0.0124018505777388	0.329993017679553
URGCP-MRPS24	5.64019715132083	-2.63543409923082	0.0125680581624601	0.334057100075937
CC2D1A	-0.513317327501906	4.9871539951711	0.01261771428323	0.335017876348845
SOX8	-0.711749750020769	4.16883095940021	0.0126498778224441	0.33551264183828
RFX8	-1.4277286013512	-0.732801441316535	0.0127260305750955	0.336789876642896
QKI	0.787105378535541	6.13302177153346	0.0127278057024317	0.336789876642896
PPIAL4D	5.80120035701203	-2.53711855586669	0.0127387759301196	0.336789876642896
B2M	0.59429541780406	12.6685524910083	0.0127670661304926	0.336916135921558
TSR1	0.397586712619916	5.57951732118789	0.0127707233261932	0.336916135921558
B4GALT4	0.569322183057217	5.79007678318425	0.0128092277536967	0.337572836412246
CNNM3	-0.401299365598247	6.39519162917071	0.0129212875456921	0.340164553976242
GYS2	5.8919024263778	-2.52041355909209	0.012960872242007	0.340844825800138
KCNAB2	-0.522423049532485	7.34587354111112	0.0130154522254569	0.341662577088216
LDHA	0.498770265610997	7.38695790170404	0.0130195223738201	0.341662577088216
MFSD11	0.670376288884581	4.48758981235452	0.0130372647335049	0.341766520217959
EPAS1	1.4920378648954	0.0551777193201027	0.0130749978123145	0.342055638321751
PSMB3	0.587945938588504	5.70858226363066	0.0130758798793911	0.342055638321751
LAP3	0.526043635110871	4.65178966324512	0.013100571862802	0.342219340406133
TRIM8	-0.493255245673606	5.53222970496336	0.0131326722789316	0.342219340406133
C12orf75	-0.965136841307767	2.89306085638752	0.0131339793156282	0.342219340406133
ARHGAP11A-DT	-5.20258840521547	-3.08386518846377	0.0131495120854143	0.342219340406133
APOBEC3F	0.880604416719036	4.55238402464848	0.0131511363928806	0.342219340406133
FAM43A	-1.05862605678731	2.48385672123289	0.0132592242928583	0.344434775926251
UBR2	0.512933376344855	6.4842603874452	0.0132640514137493	0.344434775926251
TMED2-DT	0.834762200111036	2.96441526182417	0.0133678215395963	0.346766324644822
GPD1L	-0.555230851971975	5.13358693323925	0.0134486312707256	0.348139764119232
LEFTY2	-2.33170701147392	-2.54024436476052	0.0134561826759459	0.348139764119232
ERVK13-1	0.556048645130886	4.40318361218484	0.013462882930374	0.348139764119232
CMTM7	-0.575416870210743	5.59757329719181	0.0134777902707619	0.348162209296485
NFIA	-0.838264568705506	2.57545966867023	0.0135556931282995	0.349810232974713
FITM2	-0.62905946968185	3.90078206576813	0.0137169997376988	0.353604861221615
PNO1	0.668786758193287	4.0406100521328	0.0137321789146768	0.353628561687508
N4BP3	1.34454480077183	1.28129084192439	0.0137626301170949	0.354033285109697
SPART	0.577556468867819	6.33404147498691	0.0137764474426734	0.354033285109697
MARCHF9	-0.529983989157654	6.45809501990256	0.0137946065467193	0.354132968687465
NDUFA9	0.584250340148026	5.06743185466966	0.0138153403789195	0.354298475756799
NOG	-0.916978499966202	6.77458599501478	0.013866295458352	0.355186592559477
LY96	1.27544529912497	1.98150187692756	0.0138786164034894	0.355186592559477
WWC3	0.537522367227859	6.14094003637948	0.0139121444153706	0.355677597275027
GAS2L2	-1.576860689922	-1.4928527948586	0.0139774490928005	0.356979155563707
BETALINC1	4.89088453396845	-3.1265947939209	0.0139986908239909	0.357153841300567
ACOT7	1.15922994501442	3.06632058164055	0.0140139593071995	0.35717592688514
IL4	4.67025310906605	-1.91354684046192	0.014031699948835	0.357260910709609
GFM1	0.490578789592215	5.30453285244432	0.0140941394218336	0.358482629253387
SOS1	0.978812042407355	7.03098146129548	0.014122250675246	0.358829605015805
PLA2G4C	1.63112025304732	-0.398860177420664	0.0141550956673349	0.359296026053467
IL7R	-0.452484280907994	11.2794680138667	0.0141941857844916	0.359919849968923
CAPN12	-1.81954169413391	0.85495514240424	0.0142360395207569	0.360612404571246
ARHGAP10	0.978809182982882	2.12787052132406	0.0142892126303107	0.361589983692933
AKNA	-0.441109316488288	8.61459062810377	0.0143247867049627	0.361997490428654
RNF115	0.456558694821534	5.85413047333897	0.014334510891606	0.361997490428654
ANKH	-0.438791074874482	7.25047774300494	0.0143846655747886	0.362894528574957
PALM2AKAP2	0.930734554152614	4.68090918824801	0.0144783846679323	0.364124939891934
EHMT2	-0.446331410182491	6.58483012221607	0.0145010219035411	0.364124939891934
STBD1	-1.30693027971221	1.54990772094273	0.0145035676704737	0.364124939891934
BTN3A1	0.571181930100151	8.56930717511448	0.0145059265206385	0.364124939891934
BCL2A1	0.82255052499661	4.86603626180466	0.0145068527204013	0.364124939891934
TMEM229B	0.679690222517764	4.57913486010397	0.0145486454709636	0.364711210446074
SLK	0.737526118736804	6.1427902763279	0.014559623305037	0.364711210446074
NAA15	0.472847812354813	5.81813284596296	0.0145825409219717	0.364916682466173
TIGIT	0.6986767682824	4.53469053536168	0.0146123569844909	0.364974911875925
NDST2	0.455878249979263	6.24523413740076	0.0146387622477947	0.364974911875925
NME1	0.916507106650856	3.26322551648995	0.0146395149286028	0.364974911875925
LRCH1	0.506386103626179	4.831686280623	0.0146437371392615	0.364974911875925
USP33	0.557475689010695	6.70871894847022	0.0146637555281934	0.365106900947457
ABTB3	0.749790469053182	4.68504537198062	0.0148020404443098	0.368180342004452
HDGF	-0.418208621299357	6.64463858312339	0.0148317717755387	0.368550208678941
PML	0.617173166769427	6.25362698484162	0.0148561645437772	0.368786811332463
CR2	-1.11451744277126	2.42425219532908	0.0148763509825818	0.368891011444575
FRMPD3	-2.52161608715737	-0.489175841235677	0.0148901126035735	0.368891011444575
RPF2	0.517978639925765	4.25798309113522	0.0149328678841987	0.369284268746427
SRGAP3	1.55027408761647	2.44207676428855	0.0149357684403672	0.369284268746427
LIPA	0.443464681042329	5.93520955719154	0.0149649006216708	0.369636026411168
TRAV2	1.31654732701277	2.55287424507452	0.0150058202242234	0.369937965461181
ACY3	2.01174991232395	-0.653931557360291	0.0150069596860336	0.369937965461181
RHOF	-0.47642742153463	6.17596547024916	0.0151009102475821	0.371884283247059
RNF166	-0.661582223878039	6.26914003403669	0.0151324029618097	0.372290139930475
GDPD3	-0.663704978643634	3.96724769986058	0.0152361710529712	0.374471561885663
RB1	0.663467550712421	4.81729700938205	0.0152565853689479	0.37460204016291
GRAMD1A	-0.555962981615433	7.20002533054196	0.0153075843586228	0.37548247725963
SEMA4D	-0.444313584915086	8.75201692668006	0.0154246493756626	0.377980118445708
PXN	-0.515928990091058	7.52511662173541	0.0155036387220989	0.379540707472192
TBL1XR1	0.615132832476769	6.54186407380688	0.0155376802985288	0.379998948444986
IGHV1OR15-1	-1.96498622163009	0.936816751083894	0.0155678781627072	0.380362374932982
CRTAP	-0.429527801477037	5.93642677110135	0.0156193122250961	0.381243429006061
ABHD4	-0.565476570363318	4.43720247687919	0.0156735751215627	0.382191730029139
GSTM2	-0.498705513096844	5.60713048969465	0.0157289473574671	0.383165192060733
IDH2	0.529336439810934	5.52250503207036	0.0157836193169107	0.384119701118812
OCM	-0.759233610608048	3.27097955450891	0.0158280414018009	0.384530882420984
KCNC4	-0.621265915153144	4.42074950155823	0.0158315267128442	0.384530882420984
TMEM120A	0.910128321951111	4.68135821818348	0.0159177399834091	0.38624660846239
KCNJ2	2.97921347524981	-2.39498528869047	0.0160050220353176	0.387705896115551
MKNK2	-0.568375975924753	7.57811450780184	0.0160091470471521	0.387705896115551
SDHA	0.576649605319934	6.97008224320004	0.0160262889763629	0.387742380804706
PNPLA2	-0.452869554714653	7.61480811330876	0.0160465145771019	0.387853328457651
AKR1A1	0.466334599218117	5.78895232973591	0.0162020017369567	0.391163577085329
ATOSB	-0.843850353404313	2.94802539334067	0.0162265973832852	0.391163577085329
FAM86JP	-5.64281092982685	-2.9506727050838	0.0162407352304026	0.391163577085329
GFI1	0.61666009996769	4.71269339453362	0.0162465617322428	0.391163577085329
PSTPIP1	-0.48653502305824	6.11109156321631	0.0162867583651416	0.391220421136635
CASTOR2	-0.55381787777633	4.04238293941809	0.0162897549209873	0.391220421136635
PPP1R18	-0.525763842808359	6.85922997563123	0.0163091066208109	0.391220421136635
LIPT1	0.701350031166948	4.35308556104518	0.0163120253016364	0.391220421136635
TMEM107	-0.667073856082794	3.72110512886292	0.0163598949746164	0.391354857864731
ZNF30	-0.529069752669421	4.28657668111917	0.0163724433050942	0.391354857864731
PRR33	-0.462025328390906	4.78460714051952	0.0163776951238559	0.391354857864731
ECRG4	-1.5328682387121	0.812869386137048	0.0163807549684903	0.391354857864731
ZNF467	-1.30396876541192	2.18473512300321	0.0164496364013863	0.392622264791126
METTL1	0.963298788022545	2.37391083764867	0.0164771775589239	0.392901467580533
NPRL2	-0.433940698189044	5.79951652085055	0.0165512314866987	0.394288174484765
NEK1	0.680390457918208	4.20504007167358	0.0166098259505562	0.395016025433617
TICAM1	0.587670925411795	4.53070640034434	0.0166136422649003	0.395016025433617
CD52	-0.632300700935829	8.33644478634924	0.0166748378424131	0.395825567482009
LZTS1	3.23987923868185	1.0916963006873	0.0166796128077221	0.395825567482009
RHPN1	-0.465265899981568	5.15977134539294	0.0167716039208397	0.397628112459754
CYSLTR2	0.989130233699416	2.77539781459444	0.0168515511058461	0.398575843039235
ANK1	-0.900615557121781	2.84081763037106	0.0168557850156717	0.398575843039235
CIR1	0.508072094361382	6.40277326406903	0.0168869128536063	0.398575843039235
GDPGP1	1.0622783314125	2.23333397359037	0.016894114972668	0.398575843039235
S1PR2	0.889584731604686	3.09052914277455	0.0169048398158093	0.398575843039235
GYPC	-0.413273930259362	6.93220421836797	0.0169230870690779	0.398575843039235
RBM38	0.427342191640648	7.27481279452942	0.0169240841453411	0.398575843039235
SCLY	0.474539885110781	4.59354203963427	0.0169738717772332	0.399369114045166
TASOR2	0.640757012719256	6.67835277858329	0.0170498970986572	0.40077762857782
XIAP	0.687081653428122	5.98260621194001	0.0170802559444082	0.401010341636461
HPSE	0.882011758895848	4.62601110527781	0.0170921380341844	0.401010341636461
